Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
29_11569;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.07;13.96;7.84;0.1249;0;0;0;0.1939;1.7739;0.0735;0;0.0803;17.89;0;0.0059;0.0289;0.0132;0.0018;0;0.0006;0.0017;0.0028;0.0322;0.0046;0;0;0;0;0;0;0;0;0;0;0
29_11598;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.42;13.39;11.57;0.0533;0;0;0;0;1.71;0.0672;0;0.0962;15.25;0;0.0081;0.0247;0.0086;0.001;0;0.001;0.0014;0.0031;0.0355;0.0063;0;0;0;0;0;0;0;0.0022;0;0;0
29_11670;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;5.54;25.89;0;0;0;0;0;0.4991;0;0;0.0143;0.8972;0;0;0.0018;0.0014;0;0;0.003;0.003;0.0021;0.0362;0.0018;0;0;0;0;0;0;0;0.0015;0;0;0
29_11679;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.14;6.12;25.98;0;0;0;0;0;0.3399;0.0364;0;0.0277;0.9231;0;0.0022;0;0.0017;0;0;0.0083;0.0082;0.0015;0.0231;0.0013;0;0;0;0;0;0;0;0.002;0;0;0
29_11681;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.15;4.19;30.32;0.0237;0;0;0;0;0.5244;0;0;0.017;0.5712;0;0.0018;0;0.0009;0;0;0.0014;0.0014;0.0019;0.0478;0.0021;0;0;0.0045;0;0;0;0;0;0;0;0
29_11683;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;6.67;27.63;0.0699;0;0;0;0;0.4494;0;0.0088;0.0582;1.1221;0;0;0;0.003;0;0;0.0065;0.0058;0.0022;0.0416;0.0021;0;0;0;0;0;0;0;0.002;0;0;0
29_11752;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.83;12.82;8.09;0.2734;0.0251;0;0;0;1.5761;0.048;0.0153;0.1249;18.73;0;0.0094;0.042;0.0144;0;0;0.0009;0.0008;0.0039;0.0289;0.0041;0;0;0;0.0073;0;0;0;0.0045;0;0;0
29_11824;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.51;13.71;9.09;0.0214;0;0;0;0;0.7189;0.022;0.007;0.0164;6.0212;0;0.0034;0;0.0012;0.0008;0;0;0;0.0021;0.0283;0.0023;0;0;0;0;0;0;0;0;0;0;0
29_12003;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.18;10.18;17.34;0;0;0;0;0;0.5704;0;0;0.0361;3.4283;0;0;0.0027;0.0023;0.0008;0;0;0.0006;0.0016;0.0155;0.0013;0;0;0.0035;0;0;0;0;0.0009;0;0;0
29_12292;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;12.03;7.98;0.0901;0.0099;0;0;0.1467;1.9287;0.0691;0;0.2092;20.72;0;0.0071;0.037;0.0177;0;0;0.0013;0.0015;0.0035;0.0316;0.0047;0;0;0;0;0;0;0;0.0026;0;0;0
29_12350;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.41;14.21;11.61;0.0564;0;0;0;0;1.7523;0.0812;0;0.1675;16.96;0;0.0053;0.0297;0.0119;0.0023;0;0.0014;0.0018;0.0066;0.0493;0.0063;0;0;0;0;0;0;0;0.0035;0;0;0
29_12438;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.05;9.45;15.53;0.0413;0;0;0;0.4076;0.4872;0.0331;0;0.0657;3.3796;0;0.0024;0.0033;0.0049;0.0007;0;0.0109;0.0177;0.0021;0.0238;0.0021;0;0;0;0;0;0;0;0.0018;0;0;0
29_13544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29_13750;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;16.03;10.51;0.0198;0;0;0;0;0.8477;0;0.0074;0.0134;6.243;0;0;0;0.0013;0.0007;0.0004;0;0.0028;0.0027;0.1026;0.0069;0;0;0;0;0;0;0;0;0;0.0039;0
29_14434;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.45;6.54;22.33;0;0;0;0;0.1503;0.3333;0;0;0.0299;2.0755;0;0;0;0.0039;0.001;0;0.0098;0.0072;0.0024;0.0258;0.0018;0;0;0;0;0;0;0;0.0018;0;0;0
29_14872;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.55;7.04;13.68;0.0829;0;0;0;2.8994;0.7288;0.0363;0;0.0446;10.59;0;0.0039;0.018;0.009;0;0;0.0014;0.0243;0.0035;0.0144;0.002;0;0;0;0;0;0;0;0;0;0;0
29_15794;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.87;13.09;7.22;0.1441;0;0;0;0;2.4286;0.0662;0;0.1179;19.5;0;0.0045;0.0356;0.0143;0;0;0.0007;0.0054;0.0055;0.0538;0.0092;0;0;0;0;0;0;0;0;0;0;0
