Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
28_44;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.04;11.89;9.34;0.1393;0;0;0;0;1.6573;0.0318;0.0097;0.0205;6.2382;0;0;0.0027;0.0023;0.0008;0;0;0.0028;0.0008;0.0669;0.013;0;0;0;0;0;0;0;0;0;0;0
28_45;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.62;13.38;8.04;0.1167;0;0;0;0;1.7686;0.0361;0.016;0.0173;7.53;0;0;0.0034;0.0031;0.0015;0;0;0.0038;0.0015;0.061;0.0161;0;0;0.0043;0;0;0;0;0.0011;0;0.0023;0
28_46;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1;9.81;9.38;0.1132;0;0.106;0;0;2.5287;0.0801;0;0.1975;15.03;0;0.0075;0.0235;0.0138;0;0;0.0009;0.0033;0.0053;0.0384;0.0061;0;0;0;0;0;0;0;0;0;0;0
28_47;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.54;12.43;7.63;0.1785;0;0.0178;0;0.1811;2.5146;0.0996;0;0.1239;18.45;0;0;0.0311;0.0163;0;0;0.0011;0.0041;0.0055;0.0558;0.0092;0;0;0;0.0066;0;0;0;0;0;0;0
28_48;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;13.77;3.7305;0.1576;0;0;0;0;3.0303;0.104;0;0.12;22.73;0;0.0048;0.0171;0.007;0;0;0;0.0015;0.0014;0.0547;0.008;0;0;0;0;0;0;0;0.0021;0;0;0
28_49;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.09;10.21;7.13;0.1435;0.0214;0;0;0.0155;2.4284;0.0612;0;0.0633;11.93;0;0;0.0129;0.0088;0;0;0.0005;0.0023;0.0013;0.0405;0.0053;0;0;0;0;0;0;0;0.0015;0;0;0
28_50;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.83;10.97;7.8;0.1436;0;0;0;0.0801;2.52;0.073;0;0.1539;15.31;0;0.0051;0.007;0.0119;0;0;0.0019;0.0045;0.0038;0.0422;0.0072;0;0;0;0;0;0;0;0;0;0;0
28_51;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.52;8.79;13.48;2.3288;0;0.0525;0;5.5229;0.4982;0.0704;0.0164;0.3308;6.0959;0;0.0408;0.0065;0.0421;0.0024;0;0.0111;0.0179;0.0074;0.015;0.0023;0;0;0;0;0;0;0;0.0049;0;0.0024;0.0016
28_52;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.66;10.75;4.67;0.1228;0.0198;0;0;0;2.5035;0.09;0;0.1373;19.49;0;0.0056;0.0318;0.0122;0;0;0;0.0025;0.0048;0.0518;0.0081;0;0;0;0;0;0;0;0.0016;0;0;0
28_53;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.52;13.11;2.6473;0.1426;0;0;0;0;3.2342;0.0993;0;0.0979;21.6;0;0;0.0083;0.0089;0;0;0;0.0026;0.0032;0.0549;0.0086;0;0;0;0;0;0;0;0;0.0033;0;0
